fips2010,State,County,cbsasub,areaname,lim50_19p1,lim50_19p2,lim50_19p3,lim50_19p4,lim50_19p5,lim50_19p6,lim50_19p7,lim50_19p8,lim120_19p1,lim120_19p2,lim120_19p3,lim120_19p4,lim120_19p5,lim120_19p6,lim120_19p7,lim120_19p8,fips2000,name
2812599999,28,125,NCNTY28125N28125,"Sharkey County, MS",17350,19800,22300,24750,26750,28750,30700,32700,41600,47500,53450,59400,64150,68900,73650,78400,2812599999,Sharkey County
2812799999,28,127,METRO27140N28127,"Simpson County, MS HUD Metro FMR Area",17350,19800,22300,24750,26750,28750,30700,32700,41600,47500,53450,59400,64150,68900,73650,78400,2812799999,Simpson County
2812999999,28,129,NCNTY28129N28129,"Smith County, MS",17750,20250,22800,25300,27350,29350,31400,33400,42500,48600,54650,60700,65600,70450,75300,80150,2812999999,Smith County
2813199999,28,131,NCNTY28131N28131,"Stone County, MS",19150,21900,24650,27350,29550,31750,33950,36150,45950,52500,59100,65650,70900,76150,81400,86650,2813199999,Stone County
2813399999,28,133,NCNTY28133N28133,"Sunflower County, MS",17350,19800,22300,24750,26750,28750,30700,32700,41600,47500,53450,59400,64150,68900,73650,78400,2813399999,Sunflower County
2813599999,28,135,NCNTY28135N28135,"Tallahatchie County, MS",17350,19800,22300,24750,26750,28750,30700,32700,41600,47500,53450,59400,64150,68900,73650,78400,2813599999,Tallahatchie County
2813799999,28,137,METRO32820N28137,"Tate County, MS HUD Metro FMR Area",20300,23200,26100,29000,31350,33650,36000,38300,48700,55700,62650,69600,75150,80750,86300,91850,2813799999,Tate County
2813999999,28,139,NCNTY28139N28139,"Tippah County, MS",17350,19800,22300,24750,26750,28750,30700,32700,41600,47500,53450,59400,64150,68900,73650,78400,2813999999,Tippah County
2814199999,28,141,NCNTY28141N28141,"Tishomingo County, MS",17350,19800,22300,24750,26750,28750,30700,32700,41600,47500,53450,59400,64150,68900,73650,78400,2814199999,Tishomingo County
2814399999,28,143,METRO32820N28143,"Tunica County, MS HUD Metro FMR Area",17350,19800,22300,24750,26750,28750,30700,32700,41600,47500,53450,59400,64150,68900,73650,78400,2814399999,Tunica County
2814599999,28,145,NCNTY28145N28145,"Union County, MS",17850,20400,22950,25450,27500,29550,31600,33600,42750,48850,54950,61100,65950,70850,75750,80650,2814599999,Union County
