fips2000,State,County,CBSASub,Areaname,fips2010,lim50_15p1,lim50_15p2,lim50_15p3,lim50_15p4,lim50_15p5,lim50_15p6,lim50_15p7,lim50_15p8,lim120_15p1,lim120_15p2,lim120_15p3,lim120_15p4,lim120_15p5,lim120_15p6,lim120_15p7,lim120_15p8,name
2300140770,23,1,METRO30340M30340,"Lewiston-Auburn, ME MSA",2300140770,20800,23800,26750,29700,32100,34500,36850,39250,49900,57000,64150,71300,77000,82700,88400,94100,Livermore Falls town
2300144585,23,1,METRO30340M30340,"Lewiston-Auburn, ME MSA",2300144585,20800,23800,26750,29700,32100,34500,36850,39250,49900,57000,64150,71300,77000,82700,88400,94100,Mechanic Falls town
2300146160,23,1,METRO30340M30340,"Lewiston-Auburn, ME MSA",2300146160,20800,23800,26750,29700,32100,34500,36850,39250,49900,57000,64150,71300,77000,82700,88400,94100,Minot town
2300160020,23,1,METRO30340M30340,"Lewiston-Auburn, ME MSA",2300160020,20800,23800,26750,29700,32100,34500,36850,39250,49900,57000,64150,71300,77000,82700,88400,94100,Poland town
2300164570,23,1,METRO30340M30340,"Lewiston-Auburn, ME MSA",2300164570,20800,23800,26750,29700,32100,34500,36850,39250,49900,57000,64150,71300,77000,82700,88400,94100,Sabattus town
2300177800,23,1,METRO30340M30340,"Lewiston-Auburn, ME MSA",2300177800,20800,23800,26750,29700,32100,34500,36850,39250,49900,57000,64150,71300,77000,82700,88400,94100,Turner town
2300179585,23,1,METRO30340M30340,"Lewiston-Auburn, ME MSA",2300179585,20800,23800,26750,29700,32100,34500,36850,39250,49900,57000,64150,71300,77000,82700,88400,94100,Wales town
2300300800,23,3,NCNTY23003N23003,"Aroostook County, ME",2300300800,19150,21900,24650,27350,29550,31750,33950,36150,45950,52500,59100,65650,70900,76150,81400,86650,Allagash town
2300301220,23,3,NCNTY23003N23003,"Aroostook County, ME",2300301220,19150,21900,24650,27350,29550,31750,33950,36150,45950,52500,59100,65650,70900,76150,81400,86650,Amity town
2300301710,23,3,NCNTY23003N23003,"Aroostook County, ME",2300301710,19150,21900,24650,27350,29550,31750,33950,36150,45950,52500,59100,65650,70900,76150,81400,86650,Ashland town
2300302760,23,3,NCNTY23003N23003,"Aroostook County, ME",2300302760,19150,21900,24650,27350,29550,31750,33950,36150,45950,52500,59100,65650,70900,76150,81400,86650,Bancroft town
2300305385,23,3,NCNTY23003N23003,"Aroostook County, ME",2300305385,19150,21900,24650,27350,29550,31750,33950,36150,45950,52500,59100,65650,70900,76150,81400,86650,Blaine town
2300307065,23,3,NCNTY23003N23003,"Aroostook County, ME",2300307065,19150,21900,24650,27350,29550,31750,33950,36150,45950,52500,59100,65650,70900,76150,81400,86650,Bridgewater town
2300310565,23,3,NCNTY23003N23003,"Aroostook County, ME",2300310565,19150,21900,24650,27350,29550,31750,33950,36150,45950,52500,59100,65650,70900,76150,81400,86650,Caribou city
2300311020,23,3,NCNTY23003N23003,"Aroostook County, ME",2300311020,19150,21900,24650,27350,29550,31750,33950,36150,45950,52500,59100,65650,70900,76150,81400,86650,Cary plantation
2300311300,23,3,NCNTY23003N23003,"Aroostook County, ME",2300311300,19150,21900,24650,27350,29550,31750,33950,36150,45950,52500,59100,65650,70900,76150,81400,86650,Castle Hill town
2300311335,23,3,NCNTY23003N23003,"Aroostook County, ME",2300311335,19150,21900,24650,27350,29550,31750,33950,36150,45950,52500,59100,65650,70900,76150,81400,86650,Caswell town
2300311785,23,3,NCNTY23003N23003,"Aroostook County, ME",2300311785,19150,21900,24650,27350,29550,31750,33950,36150,45950,52500,59100,65650,70900,76150,81400,86650,Central Aroostook UT
2300312000,23,3,NCNTY23003N23003,"Aroostook County, ME",2300312000,19150,21900,24650,27350,29550,31750,33950,36150,45950,52500,59100,65650,70900,76150,81400,86650,Chapman town
2300313900,23,3,NCNTY23003N23003,"Aroostook County, ME",2300313900,19150,21900,24650,27350,29550,31750,33950,36150,45950,52500,59100,65650,70900,76150,81400,86650,Connor UT
2300315395,23,3,NCNTY23003N23003,"Aroostook County, ME",2300315395,19150,21900,24650,27350,29550,31750,33950,36150,45950,52500,59100,65650,70900,76150,81400,86650,Crystal town
2300315990,23,3,NCNTY23003N23003,"Aroostook County, ME",2300315990,19150,21900,24650,27350,29550,31750,33950,36150,45950,52500,59100,65650,70900,76150,81400,86650,Cyr plantation
2300319210,23,3,NCNTY23003N23003,"Aroostook County, ME",2300319210,19150,21900,24650,27350,29550,31750,33950,36150,45950,52500,59100,65650,70900,76150,81400,86650,Dyer Brook town
2300319420,23,3,NCNTY23003N23003,"Aroostook County, ME",2300319420,19150,21900,24650,27350,29550,31750,33950,36150,45950,52500,59100,65650,70900,76150,81400,86650,Eagle Lake town
2300321380,23,3,NCNTY23003N23003,"Aroostook County, ME",2300321380,19150,21900,24650,27350,29550,31750,33950,36150,45950,52500,59100,65650,70900,76150,81400,86650,Easton town
2300325615,23,3,NCNTY23003N23003,"Aroostook County, ME",2300325615,19150,21900,24650,27350,29550,31750,33950,36150,45950,52500,59100,65650,70900,76150,81400,86650,Fort Fairfield town
2300325755,23,3,NCNTY23003N23003,"Aroostook County, ME",2300325755,19150,21900,24650,27350,29550,31750,33950,36150,45950,52500,59100,65650,70900,76150,81400,86650,Fort Kent town
2300326735,23,3,NCNTY23003N23003,"Aroostook County, ME",2300326735,19150,21900,24650,27350,29550,31750,33950,36150,45950,52500,59100,65650,70900,76150,81400,86650,Frenchville town
2300327120,23,3,NCNTY23003N23003,"Aroostook County, ME",2300327120,19150,21900,24650,27350,29550,31750,33950,36150,45950,52500,59100,65650,70900,76150,81400,86650,Garfield plantation
2300327855,23,3,NCNTY23003N23003,"Aroostook County, ME",2300327855,19150,21900,24650,27350,29550,31750,33950,36150,45950,52500,59100,65650,70900,76150,81400,86650,Glenwood plantation
2300328590,23,3,NCNTY23003N23003,"Aroostook County, ME",2300328590,19150,21900,24650,27350,29550,31750,33950,36150,45950,52500,59100,65650,70900,76150,81400,86650,Grand Isle town
2300330690,23,3,NCNTY23003N23003,"Aroostook County, ME",2300330690,19150,21900,24650,27350,29550,31750,33950,36150,45950,52500,59100,65650,70900,76150,81400,86650,Hamlin town
2300330725,23,3,NCNTY23003N23003,"Aroostook County, ME",2300330725,19150,21900,24650,27350,29550,31750,33950,36150,45950,52500,59100,65650,70900,76150,81400,86650,Hammond town
2300332195,23,3,NCNTY23003N23003,"Aroostook County, ME",2300332195,19150,21900,24650,27350,29550,31750,33950,36150,45950,52500,59100,65650,70900,76150,81400,86650,Haynesville town
2300332685,23,3,NCNTY23003N23003,"Aroostook County, ME",2300332685,19150,21900,24650,27350,29550,31750,33950,36150,45950,52500,59100,65650,70900,76150,81400,86650,Hersey town
2300333385,23,3,NCNTY23003N23003,"Aroostook County, ME",2300333385,19150,21900,24650,27350,29550,31750,33950,36150,45950,52500,59100,65650,70900,76150,81400,86650,Hodgdon town
2300333980,23,3,NCNTY23003N23003,"Aroostook County, ME",2300333980,19150,21900,24650,27350,29550,31750,33950,36150,45950,52500,59100,65650,70900,76150,81400,86650,Houlton town
2300335065,23,3,NCNTY23003N23003,"Aroostook County, ME",2300335065,19150,21900,24650,27350,29550,31750,33950,36150,45950,52500,59100,65650,70900,76150,81400,86650,Island Falls town
2300339300,23,3,NCNTY23003N23003,"Aroostook County, ME",2300339300,19150,21900,24650,27350,29550,31750,33950,36150,45950,52500,59100,65650,70900,76150,81400,86650,Limestone town
2300339965,23,3,NCNTY23003N23003,"Aroostook County, ME",2300339965,19150,21900,24650,27350,29550,31750,33950,36150,45950,52500,59100,65650,70900,76150,81400,86650,Linneus town
2300340595,23,3,NCNTY23003N23003,"Aroostook County, ME",2300340595,19150,21900,24650,27350,29550,31750,33950,36150,45950,52500,59100,65650,70900,76150,81400,86650,Littleton town
2300341715,23,3,NCNTY23003N23003,"Aroostook County, ME",2300341715,19150,21900,24650,27350,29550,31750,33950,36150,45950,52500,59100,65650,70900,76150,81400,86650,Ludlow town
2300342450,23,3,NCNTY23003N23003,"Aroostook County, ME",2300342450,19150,21900,24650,27350,29550,31750,33950,36150,45950,52500,59100,65650,70900,76150,81400,86650,Macwahoc plantation
2300342520,23,3,NCNTY23003N23003,"Aroostook County, ME",2300342520,19150,21900,24650,27350,29550,31750,33950,36150,45950,52500,59100,65650,70900,76150,81400,86650,Madawaska town
2300343255,23,3,NCNTY23003N23003,"Aroostook County, ME",2300343255,19150,21900,24650,27350,29550,31750,33950,36150,45950,52500,59100,65650,70900,76150,81400,86650,Mapleton town
2300343710,23,3,NCNTY23003N23003,"Aroostook County, ME",2300343710,19150,21900,24650,27350,29550,31750,33950,36150,45950,52500,59100,65650,70900,76150,81400,86650,Mars Hill town
2300343990,23,3,NCNTY23003N23003,"Aroostook County, ME",2300343990,19150,21900,24650,27350,29550,31750,33950,36150,45950,52500,59100,65650,70900,76150,81400,86650,Masardis town
2300345180,23,3,NCNTY23003N23003,"Aroostook County, ME",2300345180,19150,21900,24650,27350,29550,31750,33950,36150,45950,52500,59100,65650,70900,76150,81400,86650,Merrill town
2300346685,23,3,NCNTY23003N23003,"Aroostook County, ME",2300346685,19150,21900,24650,27350,29550,31750,33950,36150,45950,52500,59100,65650,70900,76150,81400,86650,Monticello town
2300347175,23,3,NCNTY23003N23003,"Aroostook County, ME",2300347175,19150,21900,24650,27350,29550,31750,33950,36150,45950,52500,59100,65650,70900,76150,81400,86650,Moro plantation
2300348120,23,3,NCNTY23003N23003,"Aroostook County, ME",2300348120,19150,21900,24650,27350,29550,31750,33950,36150,45950,52500,59100,65650,70900,76150,81400,86650,Nashville plantation
2300348575,23,3,NCNTY23003N23003,"Aroostook County, ME",2300348575,19150,21900,24650,27350,29550,31750,33950,36150,45950,52500,59100,65650,70900,76150,81400,86650,New Canada town
